X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,MAR_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-8574699.59103971,4710230.34322559,121840,Ward 1,"2237 12th Street Northwest, Washington, District of Columbia 20009",2237 12th St NW,Completed 2015 to Date,DHCD,1,38.92007338,-77.0278347,0,1,0,0,0,,238959,397586.19,139133.98,2237 12TH STREET NW,2024/09/23 09:00:26+00
-8574701.50682821,4710240.58948677,121841,Ward 1,"2243 12th Street Northwest, Washington, District of Columbia 20009",2241-2243 12th Street Northwest,Completed 2015 to Date,DHCD,1,38.920145,-77.02785191,0,0,1,0,0,,218122,397584.7,139141.93,2243 12TH STREET NW,2024/09/23 09:00:26+00
-8570651.18923942,4712177.87044547,121842,Ward 5,"1036 Newton Street NE, Washington, District of Columbia 20017",1036 Newton Street NE,Completed 2015 to Date,DHCD,1,38.93370459,-76.99149175,0,0,1,0,0,,74999,400739.81,140644.49,1036 NEWTON STREET NE,2024/09/23 09:00:26+00
-8570714.63432046,4710622.84734959,121843,Ward 5,"1002 Rhode Island Avenue Northeast, Washington, District of Columbia 20018",1002 Rhode Island Avenue Northeast,Completed 2015 to Date,DHCD,1,38.92280358,-76.99206295,0,0,0,1,0,,76233,400690.5,139438.16,1002 RHODE ISLAND AVENUE NE,2024/09/23 09:00:26+00
-8573387.49032607,4717969.05955278,121844,Ward 4,"225 Vine Street Northwest, Washington, District of Columbia 20012",225 Vine Street Northwest,Completed 2015 to Date,DHCD,3,38.97418661,-77.01608957,0,1,2,0,0,,245147,398609.39,145135.55,225 VINE STREET NW,2024/09/23 09:00:26+00
-8574558.22364762,4713742.09453526,121845,Ward 4,"4412 Georgia Avenue Northwest, Washington, District of Columbia 20011",4412 Georgia Avenue Northwest,Under Construction,DHCD,2,38.94459435,-77.02654366,0,0,2,0,0,,252628,397697.11,141858.07,4412 GEORGIA AVENUE NW,2024/09/23 09:00:26+00
-8568948.89014548,4703049.41186538,121846,Ward 8,"1625 21st Place Southeast, Washington, District of Columbia 20020",21st Place Flats,Under Construction,DHCD,2,38.86987286,-76.97614718,0,0,2,0,0,,59242,402067.52,133560.62,1625 21ST PLACE SE,2024/09/23 09:00:26+00
-8574332.34818798,4709763.9897884,121847,Ward 1,"912 U Street Northwest, Washington, District of Columbia 20001",Grimke Elementary School Phase 1 - The Fold,Completed 2015 to Date,DMPED DHCD,9,38.91681425,-77.0245357,0,5,0,4,0,,311496,397872.18,138772.07,912 U STREET NW,2024/09/23 09:00:26+00
-8571543.62783288,4698526.34216606,121848,Ward 8,"426 Woodcrest Drive Southeast, Washington, District of Columbia 20032",426 Woodcrest Drive Southeast,Under Construction,DHCD,3,38.83822616,-76.99948421,0,0,0,3,0,,307621,400044.78,130047.91,426 WOODCREST DRIVE SE,2024/09/23 09:00:26+00
-8575754.83947139,4708569.25991457,121849,Ward 2,"1328 16th Street Northwest, Washington, District of Columbia 20036",1650 O Street Northwest (1328 16th St NW),Completed 2015 to Date,DHCD,8,38.90846296,-77.03731416,0,1,7,0,0,,279074,396763.61,137845.42,1328 16TH STREET NW,2024/09/23 09:00:26+00
