GEOID,MHI_2013,MHI_2023,Rent_2013,Rent_2023,Value_2013,Value_2023,Income_Change_%,Rent_Change_%,Value_Change_%,OwnerPct_2013,RenterPct_2013,OwnerPct_2023,RenterPct_2023,OwnerChangePct,RenterChangePct,Pct_White_2013,Pct_Black_2013,Pct_Hispanic_2013,Pct_White_2023,Pct_Black_2023,Pct_Hispanic_2023,White_Change_Pct,Black_Change_Pct,Hispanic_Change_Pct
24031701423,57821.0,88389.0,1479.0,1852.0,270200.0,362000.0,52.8666055585341,25.21974306964165,33.97483345669875,47.91242362525458,52.08757637474542,52.18579234972678,47.81420765027322,4.273368724472199,-4.273368724472199,14.639880316306902,48.94208164137636,16.969437914084207,8.656873032528855,63.06400839454355,18.975166142007698,-5.983007283778047,14.121926753167187,2.005728227923491
24031701424,,146085.0,,2357.0,,586100.0,,,,,,,,,,,,,,,,,,
24031701425,,98802.0,,3144.0,,374000.0,,,,,,,,,,,,,,,,,,
24031701426,,130701.0,,2140.0,,384500.0,,,,,,,,,,,,,,,,,,
24031701427,,113952.0,,2379.0,,490200.0,,,,,,,,,,,,,,,,,,
24031701503,93095.0,145625.0,1180.0,2532.0,377700.0,536200.0,56.42623126913367,114.57627118644066,41.96452210749272,81.6127603012849,18.387239698715103,96.16477272727272,3.835227272727273,14.55201242598784,-14.552012425987831,45.43478260869565,29.304347826086957,19.057971014492754,24.297960390186223,32.53029855158144,25.74637895359149,-21.136822218509426,3.2259507254944815,6.6884079390987345
24031701505,76028.0,106462.0,1606.0,1830.0,389200.0,574700.0,40.02998895143895,13.947696139476962,47.66187050359712,47.57878554957725,52.421214450422745,45.6394211967149,54.3605788032851,-1.9393643528623483,1.939364352862356,46.64464795075814,42.05074313166191,19.531601861582345,26.79609086106709,45.94558901215003,26.980982567353408,-19.848557089691052,3.89484588048812,7.449380705771063
24031701506,134208.0,177404.0,2000.0,2756.0,444700.0,586500.0,32.18586075345732,37.8,31.88666516752868,89.73188819167142,10.26811180832858,85.28916339135317,14.710836608646826,-4.442724800318246,4.442724800318246,46.887661141804784,28.158379373848984,13.388581952117864,39.615773508594536,40.586450960566225,11.425682507583417,-7.271887633210248,12.428071586717241,-1.9628994445344468
24031701507,122266.0,138611.0,1142.0,1806.0,487200.0,659600.0,13.368393502690854,58.14360770577933,35.385878489326764,67.17019133937563,32.82980866062437,89.32424758659853,10.675752413401476,22.154056247222897,-22.154056247222897,52.155447016351665,19.473348906349543,3.758759821618178,37.66160764474424,25.744800449690835,7.644744238336145,-14.493839371607429,6.271451543341293,3.885984416717967
24031701508,54195.0,81032.0,1511.0,1797.0,280500.0,463700.0,49.51932835132392,18.927862342819324,65.31194295900178,19.323979591836736,80.67602040816327,24.162836506894287,75.8371634931057,4.838856915057551,-4.838856915057562,5.956196581196581,66.74679487179486,16.45299145299145,8.55539971949509,81.18279569892472,7.994389901823282,2.5992031382985097,14.43600082712986,-8.458601551168169
24031701509,48573.0,59854.0,1335.0,1753.0,436200.0,561500.0,23.224836843513884,31.310861423220977,28.72535534158643,21.83612183612184,78.16387816387817,19.06458797327394,80.93541202672606,-2.771533862847896,2.771533862847889,18.32217261904762,50.688244047619044,25.911458333333332,16.406966086159485,50.305530094714335,26.535288725939505,-1.915206532888135,-0.3827139529047088,0.6238303926061732
24031701601,67750.0,71507.0,1599.0,1938.0,452400.0,483300.0,5.545387453874539,21.20075046904316,6.830238726790451,9.054593874833555,90.94540612516646,11.349306431273645,88.65069356872635,2.294712556440089,-2.2947125564401034,5.828621139625924,38.53849499782514,42.75772074815137,3.744075829383886,59.810426540284354,21.943127962085306,-2.084545310242038,21.271931542459214,-20.814592786066065
24031701602,60078.0,70300.0,1374.0,1898.0,306700.0,452500.0,17.014547754585703,38.13682678311499,47.5383110531464,36.802575107296136,63.19742489270386,38.23008849557522,61.769911504424776,1.4275133882790882,-1.4275133882790811,15.643623361144218,24.746722288438615,58.38796185935637,9.074560796790704,13.570341679347075,63.881588048139434,-6.569062564353514,-11.17638060909154,5.493626188783061
