GEOID,MHI_2013,MHI_2023,Rent_2013,Rent_2023,Value_2013,Value_2023,Income_Change_%,Rent_Change_%,Value_Change_%,OwnerPct_2013,RenterPct_2013,OwnerPct_2023,RenterPct_2023,OwnerChangePct,RenterChangePct
24031007047,234659.0,250000.0,2000.0,1872.0,1000000.0,1631900.0,6.5375715399792895,-6.4,63.190000000000005,92.00298953662183,7.997010463378176,87.25701943844493,12.742980561555076,-4.7459700981768975,4.745970098176899
24031007050,131848.0,203203.0,2000.0,3500.0,760400.0,1127600.0,54.11913718827741,75.0,48.290373487638085,66.77740863787376,33.222591362126245,63.40269277845777,36.59730722154223,-3.3747158594159927,3.3747158594159856
24031007051,175662.0,223313.0,2000.0,2423.0,907000.0,1292400.0,27.1265270804158,21.15,42.49173098125689,81.14794656110837,18.852053438891637,81.80435884439939,18.195641155600608,0.6564122832910186,-0.6564122832910293
24031007052,250000.0,250000.0,2000.0,3500.0,969900.0,1366300.0,0.0,75.0,40.87019280338179,97.27831431079895,2.7216856892010535,90.51282051282051,9.487179487179487,-6.765493797978436,6.765493797978434
24031007053,250000.0,250000.0,2000.0,3500.0,1000000.0,2000000.0,0.0,75.0,100.0,97.30941704035875,2.690582959641256,97.0059880239521,2.9940119760479043,-0.3034290164066533,0.30342901640664843
24031007054,250000.0,250000.0,2000.0,3500.0,1000000.0,1678700.0,0.0,75.0,67.86999999999999,94.42190669371196,5.578093306288032,94.46092977250248,5.539070227497527,0.039023078790521026,-0.03902307879050504
24031007058,185500.0,244468.0,2000.0,2986.0,932600.0,1272000.0,31.78867924528302,49.3,36.39288012009436,85.40017590149517,14.599824098504838,82.7720207253886,17.2279792746114,-2.6281551761065742,2.628155176106562
24031700101,159663.0,191146.0,1417.0,,617600.0,767200.0,19.718406894521586,,24.22279792746114,99.93666877770741,0.06333122229259025,96.50909090909092,3.490909090909091,-3.4275778686164955,3.427577868616501
24031700103,154265.0,198375.0,2000.0,1214.0,617100.0,836700.0,28.59365377759051,-39.3,35.585804569761784,97.9381443298969,2.0618556701030926,94.38888888888889,5.611111111111111,-3.5492554410080146,3.549255441008018
24031700104,112337.0,116296.0,1676.0,1696.0,332900.0,441500.0,3.5242173104142003,1.1933174224343674,32.62240913187144,83.29369797859691,16.70630202140309,94.90968801313629,5.0903119868637114,11.61599003453938,-11.61599003453938
