FID,County,School Name,Address,City,zip,Type,Grades,Format,GlobalID,x,y
326,Anne Arundel,Crofton Elementary School,1405 Duke Of Kent Drive,Crofton,21114,Public Elementary,K-5,Public,4fe6ef40-9ee0-4151-bbce-0826e318165c,1400893.19265176,490674.896526843
327,Anne Arundel,Crofton Meadows Elementary School,2020 Tilghman Drive,Crofton,21114,Public Elementary,K-5,Public,0d5e1210-2639-4c91-b437-d96735a6bedf,1406086.03626867,491694.054593503
328,Anne Arundel,Crofton Middle School,2301 Davidsonville Road,Gambrills,21054,Public Middle,6-8,Public,3a944696-295a-4463-a2f0-569d07cb23d0,1406041.46352318,484725.640380755
329,Anne Arundel,Crofton Woods Elementary School,1750 Urby Drive,Crofton,21114,Public Elementary,K-5,Public,bdfeb72a-e927-4b83-ba4a-12be982c3afb,1399309.43269593,484862.893387094
330,Baltimore,Cromwell Valley Elementary Magnet School,825 Providence Road,Towson,21286,Public Elementary,K-5,Public,f9e2a896-d8f8-4bf6-b26d-ed019ae9d894,1430686.95163368,632836.289368838
331,Baltimore City,Cross Country Elementary/Middle School # 247,6100 Cross Country Boulevard,Baltimore,21215,Public PreK-8,PreK-8,Public,946acd0c-9168-494a-a70c-65a41a44da0b,1400618.4976631,617744.194881171
332,Prince George's,Crossland High School,6901 Temple Hill Road,Temple Hills,20748,Public High,9-12,Public,95df7dfb-9a88-4886-ba4a-d85482e4f3d3,1332361.46947926,410708.367155761
333,Baltimore City,Curtis Bay Elementary/Middle School # 207,4301 West Bay Avenue,Baltimore,21225,Public PreK-8,PreK-8,Public,115b56fc-141c-4021-ac6a-ec2c4d19ee86,1427750.69208626,567926.935920089
334,Baltimore City,Dallas F. Nicholas Elementary School # 039,201 East 21st Street,Baltimore,21218,Public Elementary,PreK-5,Public,5c213f95-be3f-4d3f-8693-d14ff041963d,1421656.77251559,599864.102360591
335,Montgomery,Daly (Capt. James E.) Elementary School,20301 Brandermill Drive,Gaithersburg,20876,Public Elementary,PreK-5,Public,11097002-7dc9-4e99-978a-1e939249e2b0,1246281.7531876,554680.534263343
336,Montgomery,Damascus Elementary School,10201 Bethesda Church Road,Damascus,20872,Public Elementary,K-5,Public,fa05a35a-77b6-4132-8a06-90f086644447,1252621.92193767,589650.505661845
337,Montgomery,Damascus High School,25921 Ridge Road,Damascus,20872,Public High,9-12,Public,10141948-f0de-48b1-b9c6-caf837781f98,1252794.51837726,588411.361486584
338,Charles,Daniel of St. Thomas Jenifer Elementary School,2820 Jenifer School Lane,Waldorf,20603,Public Elementary,PreK-5,Public,b303512c-a172-40ed-a539-6ea61ceade3c,1333004.39863959,352266.269473255
339,Harford,Darlington Elementary School,2119 Shuresville Road,Darlington,21034,Public Elementary,K-5,Public,404bff79-591e-40f6-98de-a07be662e747,1537412.44159435,718604.918028086
340,Montgomery,Darnestown Elementary School,15030 Turkey Foot Road,Gaithersburg,20878,Public Elementary,K-5,Public,27906a9d-b4f7-4bee-8eec-2753ad23813a,1231382.74033476,523170.916508421
341,Anne Arundel,Davidsonville Elementary School,962 Central Avenue West,Davidsonville,21035,Public Elementary,K-5,Public,b4e35ac0-3db8-4ad9-9a70-5eb4f281b276,1415233.66954817,456258.700595587
342,Howard,Dayton Oaks Elementary School,4691 Ten Oaks Road,Dayton,21036,Public Elementary,PreK-5,Public,84c826cb-1b7c-49cd-bbf7-c1eec11802e4,1316977.0980171,573334.166903511
343,Somerset,Deal Island Elementary School,23275 Lola Wheatley Road,Deal Island,21821,Public Elementary,PreK-5,Public,118b9ff2-7f2a-41b0-818a-7a76b1676f3f,1615127.59718734,180311.292189673
344,Anne Arundel,Deale Elementary School,759 Masons Beach Road,Deale,20751,Public Elementary,K-5,Public,1a22dee3-2100-45c8-85da-0c6e20f3a7ac,1440538.36565784,405308.046591595
345,Baltimore,Deep Creek Elementary School,1101 East Homberg Avenue,Baltimore,21221,Public Elementary,K-5,Public,665be2b5-5e65-40ac-ad09-9904dccd7528,1466574.93595992,598289.496913999
346,Baltimore,Deep Creek Middle School,1000 South Marlyn Avenue,Baltimore,21221,Public Middle,6-8,Public,095ca90d-57fe-4d57-b09e-620e1d9d1250,1466673.15951675,592890.658630341
347,Howard,Deep Run Elementary School,6925 Old Waterloo Road,Elkridge,21075,Public Elementary,PreK-5,Public,194da0d8-0d80-450e-a8e3-2161a5e848a2,1372807.72323225,552904.876397341
348,Frederick,Deer Crossing Elementary School,10601 Finn Drive,New Market,21774,Public Elementary,PreK-5,Public,246c723b-e7c4-46d9-a12e-98e2fe485239,1229886.05107093,632706.384116843
349,Baltimore,Deer Park Elementary School,9809 Lyons Mill Road,Owings Mills,21117,Public Elementary,PreK-5,Public,12abe30e-c193-4621-ad0f-4e803f1ae58d,1363803.73927176,627471.260072678
350,Baltimore,Deer Park Middle School Magnet,9830 Winands Road,Randallstown,21133,Public Middle,6-8,Public,0d4ebd2b-5399-4eee-955b-a591474d8612,1363576.004491,627024.661556423
351,Harford,Deerfield Elementary School,2307 Willoughby Beach Road,Edgewood,21040,Public Elementary,PreK-5,Public,ec2c47ac-3944-40db-b20f-3857458a982a,1512682.91854693,640596.889661252
352,Prince George's,Deerfield Run Elementary School,13000 Laurel-Bowie Road,Laurel,20708,Public Elementary,PreK-5,Public,37e97247-6bb0-41d1-b934-5cc8339a4c5e,1355918.8764326,511536.776719004
353,Wicomico,Delmar Elementary School,811 South 2nd Street,Delmar,21875,Public Elementary,PreK-4,Public,c25e785f-0563-4d26-8286-24145f4a3cf7,1720346.164965,287658.349148676
354,Caroline,Denton Elementary School,303 Sharp Road,Denton,21629,Public Elementary,PreK-5,Public,68d9b6a5-a14e-450e-b0be-7fadcbb83c18,1644999.32911043,440300.059284583
355,Montgomery,Diamond Elementary School,4 Marquis Drive,Gaithersburg,20878,Public Elementary,K-5,Public,a48dad7f-8253-4394-841d-6c56810ed1eb,1244558.23727767,535087.102977842
356,Baltimore City,Dickey Hill Elementary/Middle School # 201,5025 Dickey Hill Road,Baltimore,21207,Public PreK-8,PreK-8,Public,0dfebcbe-25c2-4643-8032-f86b5bb8b4e9,1396193.83131559,599163.100809842
357,Baltimore City,Diggs-Johnson Building # 162,1300 Herkimer Street,Baltimore,21223,Public PreK-8,K-8,Public,c47452f2-5a08-4696-a4b5-f239d923d46b,1414669.66181792,588389.44092676
358,Baltimore City,Digital Harbor High School # 416,1100 Covington Street,Baltimore,21230,Public High,9-12,Public,87e2f09a-825f-4d93-b12d-4a4c1342c3a9,1423567.65353633,586165.003118426
359,Prince George's,District Heights Elementary School,2200 County Road,District Heights,20747,Public Elementary,PreK-6,Public,6e5f17cb-b8df-436b-b439-511297781193,1341527.38618676,434200.371680841
360,Prince George's,Dodge Park Elementary School,3401 Hubbard Road,Landover,20785,Public Elementary,PreK-6,Public,54e109fb-aafe-4504-a2e1-b261c4bfe80c,1347716.42663017,461443.236814424
361,Baltimore,Dogwood Elementary School,7215 Dogwood Road,Baltimore,21244,Public Elementary,PreK-5,Public,2d94e5a1-373c-46f9-b506-9a3e83b905a1,1379321.92444268,602274.672342584
362,Prince George's,Dora Kennedy French Immersion,8950 Edmonston Road,Greenbelt,20770,Public Elementary/Middle,K-8,Public,4a98b618-31b1-4ce1-b370-1565d8110574,1340180.50535034,484817.727466926
363,Dorchester,Dorchester Career & Technology Center,2465 Cambridge Beltway,Cambridge,21613,Public Alternate,10-12,Public,dd401bcd-2182-4c01-9f2e-7be6963f0c23,1571963.94106075,321527.763037011
364,Dorchester,Dorchester Student Services Center,2455 Cambridge Beltway,Cambridge,21613,Public Alternate,9-12,Public,ae6eaf24-f6c6-46db-aeb5-e162dc4318d6,1571477.23009193,321488.193890423
365,Prince George's,Doswell E. Brooks Elementary School,1301 Brooke Road,Capitol Heights,20743,Public Elementary,PreK-6,Public,bfe311d2-e47f-4e2c-8582-af3444cb4990,1337994.50808193,438682.071050748
366,Calvert,Dowell Elementary School,12680 H.G. Trueman Road,Lusby,20657,Public Elementary,PreK-5,Public,dc347f00-655e-41cb-92f4-1e43c7d953f4,1469694.32210959,251414.410809919
367,Baltimore City,Dr. Bernard E. Harris Sr. Elementary School # 250,1400 North Caroline Street,Baltimore,21213,Public Elementary,PreK-5,Public,ac2e7266-9e79-477c-b1ef-6cecf841c5f4,1425964.97124825,597541.346179336
368,Baltimore City,Dr. Carter Goodwin Woodson Elementary/Middle School # 160,2501 Seabury Road,Baltimore,21225,Public PreK-8,PreK-8,Public,588a0557-2916-4536-aebc-0cfc3e161dcd,1419323.46287775,577492.269479677
369,Charles,Dr. Gustavus Brown Elementary School,421 University Avenue,Waldorf,20602,Public Elementary,PreK-5,Public,47ccbf1c-9d09-4f79-adb4-53e926dea65a,1335357.19117808,337940.267941594
370,Prince George's,"Dr. Henry A. Wise, Jr. High School",12650 Brooke Lane,Upper Marlboro,20772,Public High,9-12,Public,91a750de-9e38-4ecb-b80f-1342d996fe13,1372768.61143383,424982.139133096
371,St. Mary's,Dr. James A. Forrest Career & Technology Center,24005 Point Lookout Road,Leonardtown,20650,Public CareerTech,9-12,Public,ec0d1bb8-ab5a-491d-9207-92f177f800c8,1423115.91034535,220391.968261749
372,Charles,Dr. James Craik Elementary School,7725 Marshall Corner Road,Pomfret,20675,Public Elementary,PreK-5,Public,6a163940-4468-46f1-903b-deb7195863af,1303818.40222168,328620.14025642
373,Baltimore City,"Dr. Martin Luther King, Jr. Elementary/Middle School # 254",3750 Greenspring Avenue,Baltimore,21211,Public PreK-8,PreK-8,Public,91a03d8f-f725-4f39-9b38-a610dc44b741,1409461.75622326,607203.77140826
374,Baltimore City,Dr. Nathan Pitts/Ashburton Elementary/Middle School # 058,3935 Hilton Street,Baltimore,21215,Public PreK-8,PreK-8,Public,8121a928-b35e-4abd-b142-59a35e8676ca,1406361.10691276,606294.444486752
375,Baltimore City,"Dr. Roland N. Patterson, Sr. Building # 082",4701 Greenspring Avenue,Baltimore,21209,Public PreK-8,K-3; 5-8,Public,d098f769-c4a1-478e-b87d-18a967fe2959,1409045.95784226,611637.980715677
376,Charles,Dr. Samuel A. Mudd Elementary School,820 Stone Avenue,Waldorf,20602,Public Elementary,PreK-5,Public,c7663ffc-f927-4c5a-852f-7dceab897cdb,1337967.14068259,342950.036793426
377,Charles,Dr. Thomas L. Higdon Elementary School,12872 Rock Point Road,Newburg,20664,Public Elementary,PreK-5,Public,38016e07-f2c2-4462-8f36-9a609ac7c1ee,1329454.19150117,252378.764196172
378,Montgomery,Drew (Dr. Charles) Elementary School,1200 Swingingdale Drive,Silver Spring,20905,Public Elementary,PreK-5,Public,4658d5bb-3260-46c1-a28b-2795bbf09e60,1315891.65202525,518778.14215751
379,Prince George's,Drew-Freeman Middle School,2600 Brooks Drive,Suitland,20746,Public Middle,7-8,Public,0ced6897-9c33-4f7d-962b-36d6bd9c7ca8,1335271.62409201,432602.931634262
380,Harford,Dublin Elementary School,1527 Whiteforoad Road,Street,21154,Public Elementary,PreK-5,Public,b9edbcb5-8760-4ebb-b05b-14fc6a946142,1519145.51060858,722680.434483334
381,Howard,Ducketts Lane Elementary School,6501 Ducketts Ridge,Elkridge,21075,Public Elementary,PreK-5,Public,039b0a67-e5fe-410c-beda-678f4a6c0b8a,1384375.54196009,559035.420894757
382,Montgomery,Dufief Elementary School,15001 Dufief Drive,Gaithersburg,20878,Public Elementary,K-5,Public,0d0d8077-b48a-4ef3-b629-438a9bcad548,1244913.14864133,522778.726019844
383,Baltimore,Dulaney High School,255 Padonia Road,Timonium,21093,Public High,9-12,Public,e5399f2c-33b5-4eec-9e95-6b3fc8f9eda8,1422185.13989717,653385.486787423
384,Baltimore,Dumbarton Middle School,300 Dumbarton Road,Baltimore,21212,Public Middle,6-8,Public,1942b352-e66e-418f-a039-a1848dd184e2,1422099.41008176,624628.999353006
385,Baltimore,Dundalk Elementary School,2717 South Playfield Street,Baltimore,21222,Public Elementary,PreK-5,Public,be663029-6d81-4c49-abe8-acfca16ebfc9,1448510.20863801,580036.226334006
386,Baltimore,Dundalk High School/Sollers Point Technical High School,1901 Delvale Avenue,Baltimore,21222,Public High,9-12,Public,0cda1336-8faa-444d-9132-2e93f2253112,1449454.19821984,583838.376210004
387,Baltimore,Dundalk Middle School,7400 Dunmanway,Baltimore,21222,Public Middle,6-8,Public,19ffd857-0918-41c9-80f3-ecddf4118387,1450035.56221458,580469.057161257
388,Howard,Dunloggin Middle School,9129 Northfield Road,Ellicott City,21042,Public Middle,6-8,Public,193924d5-e5ad-4c27-bf7f-3ddc962235d7,1359908.27199709,579023.371732429
389,Prince George's,Duval High School,9880 Good Luck Road,Lanham,20706,Public High,9-12,Public,3427370f-2cda-444f-9ba0-5a90e37d846b,1358434.50919659,481834.018867418
390,Prince George's,Dwight D. Eisenhower Middle School,13725 Briarwood Drive,Laurel,20708,Public Middle,6-8,Public,0b084187-3694-44a1-90f0-90fde1b9a757,1353839.79528892,514410.483570009
391,St. Mary's,Dynard Elementary School,23510 Bushwood Road,Chaptico,20621,Public Elementary,PreK-5,Public,6ce733a6-8884-4e78-9cc6-e8d1735fb7b7,1381262.98453693,235329.590945512
392,Washington,E. Russell Hicks Middle School,1321 South Potomac Street,Hagerstown,21740,Public Middle,6-8,Public,a8253979-abd4-4349-825f-579db25cf9d3,1105869.14096875,710397.637526676
393,Frederick,Earth and Space Sciences Lab (ESSL),210 Madison Street,Frederick,21701,Public Science,N/A,Public,f6e043e0-0b2c-4ded-9122-39eab6548158,1194788.36306433,634556.253120512
394,Wicomico,East Salisbury Elementary School,1201 Ocean City Road,Salisbury,21804,Public Elementary,3-5,Public,d3d3ea16-4223-419b-b3be-26c4ace252ed,1721005.28700633,260838.327657595
395,Montgomery,East Silver Spring Elementary School,631 Silver Spring Avenue,Silver Spring,20910,Public Elementary,HS-5,Public,e6654bc5-52dd-4176-99a4-a09fc0d2720d,1307985.64880842,482952.154754505
396,Washington,Eastern Elementary School,1320 Yale Drive,Hagerstown,21741,Public Elementary,3-5,Public,5465d74c-dd4b-464c-8efb-83c051badc6b,1117168.7220441,713866.299224511
397,Montgomery,Eastern Middle School,300 University Boulevard East,Silver Spring,20901,Public Middle,6-8,Public,29aa9037-09fd-47d8-80ea-05c05a424fd8,1312021.16435942,489975.65547125
398,Baltimore,Eastern Technical High School,1100 Mace Avenue,Baltimore,21221,Public High,9-12,Public,c9cab36e-fded-44df-b7e4-2ff6aa671b3c,1461391.8738195,604364.720984012
399,Talbot,Easton Elementary School - Dobson Building,305 Glenwood Avenue,Easton,21601,Public Elementary,PreK-1,Public,87ec2cdd-c4b5-47a1-8eb9-cad8e206a06e,1573320.33598575,404697.987772346
400,Talbot,Easton Elementary School - Moton Building,307 Glenwood Avenue,Easton,21601,Public Elementary,2-5,Public,7ba2dc13-6a0e-4298-92f2-7073bdf861e1,1573799.41573626,404321.834981337
401,Talbot,Easton High School,723 Mecklenburg Avenue,Easton,21601,Public High,9-12,Public,1d090a6b-4a1f-4633-9654-4921ac12875a,1578438.06000225,397787.162027091
402,Talbot,Easton Middle School,201 Peachblossum Road,Easton,21601,Public Middle,6-8,Public,fd73ca5e-e573-4459-a298-c71ac5348c93,1575321.9632161,401054.960281506
403,Anne Arundel,Eastport Elementary School,420 Fifth Street,Annapolis,21403,Public Elementary,PreK-5,Public,d4687bb7-ffbd-4650-be31-0c7eea871b55,1459267.27669075,475067.228267178
404,Carroll,Ebb Valley Elementary School,3100 Swiper Road,Manchester,21102,Public Elementary,PreK-5,Public,fb62a259-e2ef-4b58-8a31-de7b7f6ceb14,1343739.00938818,732056.019406676
405,Allegany,Eckhart Alternative,17000 National Highway SW,Frostburg,21532,Public Alternate,6-12,Public,fdb018dc-a75d-4c17-8903-6a8bb9a4f7b5,776842.589377508,729249.238931
406,Baltimore City,Edgecombe Circle Elementary/Middle School # 062,2835 Virginia Avenue,Baltimore,21215,Public PreK-8,PreK-5,Public,78b49e09-df78-4abb-8783-b3d27c2725f9,1407730.15305917,611306.597192094
407,Baltimore,Edgemere Elementary School,7201 North Point Road,Baltimore,21219,Public Elementary,PreK-5,Public,e867afc5-ba13-46b8-bb92-ba8e7feb4e93,1469315.17555818,573451.319556341
408,Anne Arundel,Edgewater Elementary School,121 Washington Road,Edgewater,21037,Public Elementary,K-5,Public,7879b3b1-da09-4c01-82bc-106ea932959b,1438316.48558718,463185.641138002
409,Harford,Edgewood Elementary School,2100 Cedar Drive,Edgewood,21040,Public Elementary,PreK-5,Public,ad586ab1-2d3d-4b45-848c-2951f4b6fbc1,1510728.71149734,640506.071601421
410,Harford,Edgewood High School,2415 Willoughby Beach Road,Edgewood,21040,Public High,9-12,Public,3a734010-5413-4c03-92ad-8e9d2ac8ac89,1513331.37886417,641007.731687337
411,Harford,Edgewood Middle School,2311 Willoughby Beach Road,Edgewood,21040,Public Middle,6-8,Public,a93d0e0f-11f5-46d9-bd6b-692847a55cd3,1513577.10409451,640508.816346586
412,Baltimore City,Edgewood PreK-5 # 067,1900 Edgewood Street,Baltimore,21216,Public Elementary,PreK-5,Public,9465094e-b381-4435-8760-73e82c593a09,1403970.52343935,598330.888563499
413,Montgomery,Edison (Thomas) High School,12501 Dalewood Drive,Silver Spring,20906,Public CareerTech,N/A,Public,be11a422-8f47-48c2-bece-f12b1a48d85d,1293117.23366342,507766.145152673
414,Baltimore,Edmondson Heights Elementary School,1600 Langford Road,Baltimore,21207,Public Elementary,PreK-5,Public,7e26fa97-11e9-472b-bb9d-a1f36c4f421f,1391803.83943942,594579.647706419
415,Baltimore City,Edmondson High School Building # 400A,501 Athol Avenue,Baltimore,21229,Public High,9-12,Public,9444eb45-f8ad-4cfa-bfc6-c7dfa8953945,1400451.81525367,592281.413785845
416,Prince George's,Edward M. Felegy Elementary School,6110 Editors Park Drive,Hyattsville,20782,Public Elementary,PreK-5,Public,8c65afc4-5089-46cb-a5c0-3c6ecddd6917,1322589.42176618,472399.375991344
417,Montgomery,Einstein (Albert) High School,11135 Newport Mill Road,Kensington,20895,Public High,9-12,Public,f0dd10bc-b0b9-4cf0-bef8-2ea6a0aea6c2,1293269.38657434,499867.789886415
418,Carroll,Eldersburg Elementary School,1021 Johnsville Road,Sykesville,21784,Public Elementary,PreK-5,Public,09df0030-1b00-44b0-9e3a-08d00b0d771a,1324026.16003442,634718.686522678
419,Prince George's,Eleanor Roosevelt High School,7601 Hanover Parkway,Greenbelt,20770,Public High,9-12,Public,eb2a6e02-ca9d-482c-9a66-38b0e1d53bbf,1349431.07116675,483487.089708254
420,Cecil,Elk Neck Elementary School,41 Racine School Road,Elkton,21921,Public Elementary,K-5,Public,243ae18d-0507-44e6-a42b-d7e71554e0b3,1622782.07794134,682511.307800755
421,Howard,Elkridge Elementary School,7075 Montgomery Road,Elkridge,21075,Public Elementary,K-5,Public,5e13db5d-6885-4283-884e-5907240f9a57,1389141.89299168,563516.872233674
422,Howard,Elkridge Landing Middle School,7085 Montgomery Road,Elkridge,21075,Public Middle,6-8,Public,55c8edec-23b9-4de1-b162-e05449f6520a,1389147.74337368,563038.945039928
423,Cecil,Elkton High School,110 James Street,Elkton,21921,Public High,9-12,Public,b6a1bc5a-29a5-4125-80e0-77000b22b1f7,1640491.72395243,714387.928430587
424,Cecil,Elkton Middle School,615 North Street,Elkton,21921,Public Middle,6-8,Public,f21d635b-0674-4103-9eb4-4c41cfd59964,1641811.27052592,713681.826496333
425,Howard,Ellicott Mills Middle School,4445 Montgomery Road,Ellicott City,21043,Public Middle,6-8,Public,d7eeca48-2ab2-4f8a-ad8b-5606fcdc2112,1365971.09320475,576708.412779674
426,Carroll,Elmer Wolfe Elementary School,119 North Main Street,Union Bridge,21791,Public Elementary,PreK-5,Public,8d4ab4ec-46d9-4b1a-b972-1942a783cc03,1262474.79757309,695717.330929339
427,Baltimore,Elmwood Elementary School,531 Dale Avenue,Baltimore,21206,Public Elementary,PreK-5,Public,cbee034f-89ad-4f32-85a9-465ab731e008,1448074.53988992,613074.225546584
428,Washington,Emma K. Doub Elementary School,1221 South Potomac Street,Hagerstown,21740,Public Elementary,K-5,Public,9634cb2a-0e6e-46f1-9ded-7972324b662c,1106272.81831101,711170.197989419
429,Frederick,Emmitsburg Elementary School,300 South Seton Avenue,Emmitsburg,21727,Public Elementary,PreK-5,Public,81990827-1e46-4919-88a2-21039b907c30,1219659.52427992,741792.620996416
430,Harford,Emmorton Elementary School,2502 Tollgate Road,Bel Air,21015,Public Elementary,K-5,Public,6a85c14c-05fc-49b8-b4d2-04f61576afd6,1501675.08426343,663483.915081337
431,Prince George's,Ernest Everett Just Middle School,1300 Campus Way North,Mitchellville,20721,Public Middle,6-8,Public,8e9f9bfc-6d5b-4125-a0eb-90831aa348e3,1360713.19295943,451847.647081763
432,St. Mary's,Esperanza Middle School,22790 Maple Road,Lexington Park,20653,Public Middle,6-8,Public,f58a516d-3a7d-4897-93d6-91b8802cb6b1,1457799.45876026,227938.746147171
433,Baltimore,Essex Elementary School,100 Mace Avenue,Essex,21221,Public Elementary,PreK-5,Public,9f67e0bf-dac4-411a-b171-91ab06d914c4,1459488.647311,598623.374855176
434,Baltimore City,Eutaw Marshburn Elementary School # 011,1624 Eutaw Place,Baltimore,21217,Public Elementary,PreK-5,Public,819ee361-1a51-4c9f-847e-bcf0dd12617f,1417049.22005093,597440.536013499
435,Charles,Eva Turner Elementary School,1000 Bannister Circle,Waldorf,20602,Public Elementary,PreK-5,Public,76161b52-e68b-44bb-b993-5ec1318c6404,1340134.13766092,337821.383336842
436,St. Mary's,Evergreen Elementary School,43765 Evergreen Way,California,20619,Public Elementary,PreK-5,Public,135cc264-bed6-4620-b8a0-83ac98263048,1437582.66389209,230643.987783924
437,Somerset,Ewell Elementary School,4005 Smith Island Road,Ewell,21824,Public Elementary/Middle,PreK-7,Public,7ef69101-9b96-48b1-9afd-48c499ca3e74,1590694.63621084,120820.63098751
438,Montgomery,Ewing (Blair G.) Center,14501 Avery Road,Rockville,20853,Public Alternate,N/A,Public,01dac2de-2c62-41d3-9a8e-5ed4342b9f85,1277392.65389217,520467.374015257
439,Prince George's,EXCEL Academy Public Charter,7910 Scott Road,Landover,20785,Public Elementary/Middle,K-8,Public,87e1987b-fd65-4398-9968-914528eb9147,1349514.86102542,456985.444220841
440,Charles,F.B. Gwynn Center,5998 Radio Station Road,Laplata,20646,Public Special Education,PreK-8,Public,4f4280f9-6616-4ddb-a616-bf8ce07cd844,1327487.67771767,320730.400130421
441,Montgomery,Fairland Center,13313 Old Columbia Pike,Silver Spring,20904,Public Alternate,N/A,Public,d798a7c8-9246-49b8-9bfd-3943829c0fd7,1324312.64633809,512853.144493088
442,Montgomery,Fairland Elementary School,14315 Fairdale Road,Silver Spring,20905,Public Elementary,HS-5,Public,8e482224-748b-42ab-938c-416a5323c464,1324785.63784617,518705.139022678
443,Prince George's,Fairmont Heights High School (Replacement),6501 Columbia Park Road,Landover,20785,Public High,9-12,Public,3326e700-9395-489d-b652-8d6503acbb57,1342206.38614109,455364.969443426
444,Baltimore City,Fairmont-Harford Building # 456,2555 Harford Road,Baltimore,21218,Public High,9-12,Public,db456745-8913-41f4-a635-e61bd28ef55f,1427315.55877018,601496.000343502
445,Washington,Claud Kitchens Outdoor School at Fairview,12808 Draper Road,Clear Spring,21722,Public Environmental Education,Outdoor,Public,85f6d1bb-a3da-4542-b0a5-b45b2c97cb77,1047225.85405609,728815.240455166
446,Montgomery,Fallsmead Elementary School,1800 Greenplace Terrace,Rockville,20850,Public Elementary,K-5,Public,dd7551f4-cd4c-4fd1-9213-a9889cd89a20,1262039.64883709,514016.388885751
447,Baltimore City,Fallstaff Elementary/Middle School # 241,3801 Fallstaff Road,Baltimore,21215,Public PreK-8,PreK-8,Public,396e9b1a-bfe9-4f10-ae9a-d9f4c85e5316,1395729.90573426,617835.933214754
448,Harford,Fallston High School,2301 Carrs Mill Road,Fallston,21047,Public High,9-12,Public,c81a3894-a6f5-4510-ab5b-4e00ecd9d1d9,1477394.09247117,676426.134931758
449,Harford,Fallston Middle School,2303 Carrs Mill Road,Fallston,21047,Public Middle,6-8,Public,48aadd82-ca3a-43dd-ad62-e097e011ea7d,1477862.62237401,676242.954851925
450,Montgomery,Farmland Elementary School,7000 Old Gate Road,Rockville,20853,Public Elementary,K-5,Public,5582ea30-b701-4528-98ba-8870b240525f,1271084.32169259,502806.143261671
451,Montgomery,Farquhar (William) Middle School,16915 Bachelor's Forest Road,Olney,20832,Public Middle,6-8,Public,c0f70f01-b35d-4a81-a9d3-9810907d7702,1299538.05120234,534431.274237007
452,Baltimore,Featherbed Lane Elementary School,6700 Richardson Road,Baltimore,21207,Public Elementary,PreK-5,Public,db5e05d9-255a-40dc-8a0b-dbf2f5ed68a1,1386396.37256409,603192.56814459
453,Baltimore City,Federal Hill Prep PreK-5 # 045,1040 William Street,Baltimore,21230,Public Elementary,PreK-5,Public,edb10f93-8e24-4d43-bbee-898e0c45dd39,1422376.39935717,586897.367467344
454,Caroline,Federalsburg Elementary School,302 South University Avenue,Federalsburg,21632,Public Elementary,PreK-5,Public,0044a434-4d77-4ba0-b261-fcf7e75df9f1,1660630.97041926,375143.626605585
455,Anne Arundel,Ferndale Early Education Center,105 Packard Avenue,Glen Burnie,21061,Public Elementary,PreK-K,Public,93ca9e82-12a7-43a4-ab81-58e29985ed1d,1413534.605361,552855.687519342
456,Montgomery,Fields Road Elementary School,1 School Drive,Gaithersburg,20878,Public Elementary,PreK-5,Public,898ac26a-4a7e-4e8f-8ac1-9b911f2ade0f,1251328.83397268,528963.389503509
457,Baltimore,Fifth District Elementary School,3725 Mount Carmel Road,Upperco,21155,Public Elementary,K-5,Public,4ebd6db9-eed2-4f84-820e-f8e72452a0ac,1375089.3377635,704512.153234676
458,Allegany,Flintstone Elementary School,22000 National Pike SW,Flintstone,21530,Public Elementary,PreK-5,Public,88633786-794b-45fa-9e26-3ab22bd69a85,872095.797492757,744807.663850844
459,Prince George's,Flintstone Elementary School,800 Comanche Drive,Oxon Hill,20745,Public Elementary,PreK-6,Public,aefd36aa-fe08-4d8d-aff4-92936592556e,1313616.94069542,415327.33134301
460,Montgomery,Flower Hill Elementary School,18425 Flower Hill Way,Gaithersburg,20879,Public Elementary,PreK-5,Public,77c6035f-e1a2-47ac-947c-ab12c3ae9126,1263801.74570659,543519.234407499
461,Montgomery,Flower Valley Elementary School,4615 Sunflower Drive,Rockville,20853,Public Elementary,K-5,Public,7ee570d6-f0e0-4b76-9050-8d146346c664,1285779.49046493,524274.142648429
462,Anne Arundel,Folger McKinsey Elementary School,175 Arundel Beach Road,Severna Park,21146,Public Elementary,K-5,Public,9b7194fb-470c-4922-9acb-e64b69ffe652,1443358.23304959,516231.791279092
463,Howard,Folly Quarter Middle School,13500 Tridelphia Road,Ellicott City,21042,Public Middle,6-8,Public,c0a0b5d0-cbcb-4790-b6fa-9698f50ab009,1316924.20967142,582542.065810502
464,Prince George's,Forest Heights Elementary School,200 Talbert Drive,Oxon Hill,20745,Public Elementary,PreK-6,Public,63a68c4c-60c7-4792-a430-99c3f29bcd15,1311634.46106459,418510.337444171
465,Harford,Forest Hill Elementary School,2407 Rocks Road,Forest Hill,21050,Public Elementary,K-5,Public,cc9349e8-ac9b-4d65-a746-48d2cbc3d7ed,1485571.01935875,699648.456269175
466,Montgomery,Forest Knolls Elementary School,10830 Eastwood Avenue,Silver Spring,20901,Public Elementary,HS-5,Public,a0480cf9-0b33-46d0-aaa3-3ee607b7b434,1306643.64329034,497659.138791919
467,Harford,Forest Lakes Elementary School,100 Osborne Parkway,Forest Hill,21050,Public Elementary,K-5,Public,d1987c5b-4871-41f1-84f2-4c0ac071644f,1486211.77398276,693491.702506587
