FID,County,School Name,Address,City,zip,Type,Grades,Format,GlobalID,x,y
1112,Baltimore City,Roland Park Elementary/Middle School # 233,5207 Roland Avenue,Baltimore,21210,Public PreK-8,PreK-8,Public,b3b503dc-8778-450f-a9a6-f41405c50e1b,1415675.04268117,616022.182577178
1113,Anne Arundel,Rolling Knolls Elementary School,1985 Valley Road,Annapolis,21401,Public Elementary,PreK-5,Public,b3b950f2-8495-4df2-8ad8-7853510eace2,1437945.37510893,485248.734150842
1114,Montgomery,Rolling Terrace Elementary School,705 Bayfield Street,Takoma Park,20912,Public Elementary,HS-5,Public,c5e3ff5b-9196-46f3-9dfb-a4692362b006,1313070.65044942,483822.591005757
1115,Prince George's,Rosa L. Parks Elementary School,6111 Ager Road,Hyattsville,20782,Public Elementary,PreK-6,Public,04184ac9-7d99-465b-9e1a-b6b0be7a469a,1320155.90858859,473000.326561093
1116,Montgomery,Rosa Parks Middle School,19200 Olney Mill Road,Olney,20832,Public Middle,6-8,Public,ad1b2bfd-3fcf-484f-bd79-b44a641ddbf6,1288344.08212051,547883.520626426
1117,Prince George's,Rosaryville Elementary School,9925 Rosaryville Road,Upper Marlboro,20772,Public Elementary,PreK-5,Public,5bc41864-e21b-4e80-9526-9cc66a69e537,1363630.96107401,397779.74570334
1118,Montgomery,Roscoe Nix Elementary School,1100 Corliss Street,Silver Spring,20903,Public Elementary,PreK-2,Public,e78d478b-a2d2-44dc-a944-63bf10edf258,1315730.64053626,492102.144656584
1119,Prince George's,Rose Valley Elementary School,9800 Jacqueline Drive,Fort Washington,20744,Public Elementary,PreK-6,Public,4caa7de1-babc-4f2a-913f-dac4fd21894c,1323759.47520034,396443.746406838
1120,Baltimore,Rosedale Center,8200 Old Philadelphia Road,Baltimore,21237,Public Alternate,6-12,Public,8b4b8c91-34c6-4494-b8c9-96f9a28aad58,1452296.63512026,603851.72955592
1121,Montgomery,Rosemary Hills Elementary School,2111 Porter Road,Silver Spring,20910,Public Elementary,PreK-2,Public,6b3bac64-f061-41c9-aa14-b172912102c9,1299453.64421892,485967.145771757
1122,Montgomery,Rosemont Elementary School,16400 Alden Avenue,Gaithersburg,20877,Public Elementary,PreK-5,Public,83e317d0-a75a-4718-aba5-4992c788b600,1259700.90088992,531179.401803762
1123,Baltimore City,Rosemont Elementary/Middle School # 063,2777 Prestman Street,Baltimore,21216,Public PreK-8,PreK-8,Public,55aeb97a-9695-4cfe-bd00-0646b693aa87,1407660.85628176,596652.109112665
1124,Garrett,Route 40 Elementary School,17764 National Pike,Frostburg,21532,Public Elementary,PreK-5,Public,68f86d1b-cf42-44ce-8596-15259f743154,746543.028257594,741957.573750511
1125,Harford,Roye-Williams Elementary School,201 Oakington Road,Havre De Grace,21078,Public Elementary,PreK-5,Public,2bd4b8bf-08d4-4f7d-a0dd-0b20c230422a,1556379.52833201,676708.796111837
1126,Howard,Running Brook Elementary School,5215 West Running Brook Road,Columbia,21044,Public Elementary,PreK-5,Public,7002ebc2-130a-495b-b19e-48f2b4548769,1352685.91209801,568963.927940592
1127,Carroll,Runnymede Elementary School,3000 Langdon Drive,Westminster,21158,Public Elementary,PreK-5,Public,0c4904ee-e564-424e-9e59-7e4973387cd3,1283068.97751325,715244.152111843
1128,Washington,Ruth Ann Monroe Primary School,1311 Yale Drive,Hagerstown,21740,Public Elementary,PreK-2,Public,dd32adeb-eb44-4637-89fc-907a9ab44cce,1117375.08908543,713386.658123419
1129,Anne Arundel,Ruth Parker Eason School,648 Old Mill Road,Millersville,21108,Public Special Education,PreK-12,Public,e0607c92-dc11-452d-845b-50603933581a,1417215.19609693,528957.152311251
1130,Carroll,South Carroll High School,1300 West Old Liberty Road,Sykesville,21784,Public High,9-12,Public,f193311e-1bb1-42a9-96e3-e0463d75db12,1300633.39185943,646954.063298583
1131,Frederick,Sabillasville Elementary School,16210B Sabillasville Road,Sabillasville,21780,Public Elementary,K-5,Public,a0cd587a-0140-4205-a268-01bac82f3c6d,1183981.87483484,733734.52818875
1132,Washington,Salem Avenue Elementary School,1323 Salem Avenue,Hagerstown,21740,Public Elementary,PreK-5,Public,e9e5a3fb-284d-4382-a5f2-8f2acce24ba0,1104778.10049993,725500.362570509
1133,Wicomico,Salisbury Middle School,607 Morris Street,Salisbury,21801,Public Middle,6-8,Public,aeab9826-4935-4102-b183-5fca8e64a49b,1711957.95077033,263879.80845125
1134,Prince George's,Samuel Chase Elementary School,5700 Fisher Road,Temple Hills,20748,Public Elementary,PreK-5,Public,1adf2213-9b36-42bc-bf23-47d9b182bb4b,1326184.78071718,416337.788967758
1135,Prince George's,Samuel Ogle Middle School,4111 Chelmont Lane,Bowie,20715,Public Middle,6-8,Public,cd20e3fa-d0e6-4fc2-9e45-620a698b8897,1385765.32723826,483323.309195921
