OBJECTID_1,COUNTY,TRACT,Shape_Length,Shape_Area
59,001,000700,8085.34375197167,3114530.46740887
60,001,001000,7689.33915069474,1958877.61390196
61,510,250500,36962.5688655236,14386921.8225702
62,510,160802,8012.68847224665,2049558.13882936
63,510,250301,11208.0745599795,3153277.39451913
64,510,030100,3533.33477145722,714391.452524321
65,510,250207,6609.98112614085,1532159.65595776
66,510,030200,5357.11540666471,848198.319020071
67,510,040200,3655.43734837122,729845.435668333
68,510,200800,6162.82299144461,1783635.62006756
69,510,060200,2626.20188284313,430904.586227536
70,510,260800,2886.09912057004,521080.684592909
71,510,160400,3805.69358594342,670424.778291143
72,510,280101,11733.5527437714,2358199.65947325
73,510,250401,6661.96068586916,1969366.30314305
74,510,250205,12411.2423387222,3867558.58527107
75,510,271802,3846.70420559587,887823.063466561
76,510,060100,2545.12284308551,399116.246823726
77,510,270802,5677.41549116395,1842246.90901109
78,510,250402,4893.59244853242,1175193.72517428
79,510,271801,4097.6877029679,934262.981357613
80,510,260201,6934.96035674591,2737759.83241962
81,510,260401,6453.95383089838,2240351.74465933
82,510,080101,8966.88997727059,3873819.06337333
83,510,060300,2276.80203564241,312829.089938406
84,510,140200,3403.970349045,660956.568135838
85,510,160100,3690.97178965921,639793.307219922
86,510,160200,3602.3967476254,625479.483206755
87,510,260404,15401.9602266879,7478093.1699246
88,510,150300,3361.1874126342,667609.1933288
89,510,150200,3597.07114765152,701946.926550192
90,510,160700,6293.46040088387,1616028.77954005
91,510,260202,6018.18929820827,1705618.90470748
92,510,140300,3563.67778279805,653499.599223608
93,510,170300,2872.39606884006,511357.500059711
94,510,080302,3456.88790676494,735096.568119225
95,510,260501,9535.79420689731,5385819.50699532
96,510,160300,3295.62577387777,427460.261102658
97,510,130400,12256.7524973597,4397102.33841801
98,510,160600,4123.6167685382,934390.925628093
99,510,271600,4932.14616311584,1423574.68604925
100,510,271700,7328.70822138894,2903945.27272311
101,510,151300,6120.02078593659,1552407.37555351
102,510,210200,10348.2330374784,3918983.30004961
103,510,060400,3425.61251680227,719824.640996568
104,510,250204,7774.77212986118,1438800.56979565
105,510,070400,3178.27039841564,546777.521194412
106,510,020100,2395.33795025296,291761.196935833
107,510,260604,3890.73986780788,841705.100163511
108,510,272007,5773.63740070221,1346783.83890295
109,510,080200,5749.85415210297,1440304.92403805
110,510,080301,2843.39455210329,449229.464423052
111,510,070100,2841.3915522668,485984.484455504
112,510,080600,3217.28539619235,562702.72633376
113,510,080400,2707.88145168235,419744.128921789
114,510,272006,4933.6812402954,1234480.06355656
115,510,280500,5214.37406971071,1541758.10896623
116,510,260403,10280.7287211941,2826137.24165171
117,510,150600,7242.23074418146,1604074.29739247
118,510,080800,3183.39482962015,547617.654690533
119,510,160500,5865.09640355098,1730054.52401719
120,510,260402,7786.27524827495,2263805.50310001
121,510,260700,5299.5047744099,1269912.92680253
122,047,951000,24601.5868040147,22869388.515845
123,047,951500,72607.197666885,112477331.653395
124,021,750300,3561.33189467439,654626.091620764
125,021,750702,8005.38412144175,2431074.81840974
126,041,960400,21781.8365757339,9127629.74412976
127,015,30400,16422.2923760577,8123960.9591451
128,015,31202,41836.8543486362,38451190.3938674
129,015,30505,34675.0981073765,29863168.3086611
130,023,000200,99345.940651408,351532130.730547
131,023,000700,113579.028668222,357430609.79569
132,039,930101,67293.1833368989,172222994.969278
133,039,930600,144742.330535837,32131081.2941884
134,005,420301,4691.25750698856,921558.797178444
135,033,805908,5614.94154358913,1667945.75031104
136,005,402404,8439.98262014958,2836782.89011563
137,005,450504,8107.71870200313,1944519.91735915
138,033,801600,4256.78686269762,900877.746336745
139,033,801702,7645.88461773615,2275191.66723672
140,033,803508,8339.87849634447,3627598.91410125
141,005,408506,12337.5547219848,3168026.10472153
142,005,451300,8361.56411962311,3595429.10402728
143,005,401102,11022.6738895244,5792947.05774592
144,005,402503,15087.9547163045,8168732.0960583
145,005,450503,9237.03735839882,1547906.7649881
146,033,806601,5581.95403886182,1723113.55091624
147,033,806602,7030.55987982363,2751366.34159699
148,033,806501,10352.7714829694,2568430.75353431
149,033,805202,6188.38373742861,1398013.05022881
150,033,805801,8574.03204140012,2364864.5592761
151,005,452300,11153.6937024827,3926547.80762378
152,005,430300,10107.4405492968,3602232.83599047
153,033,804900,7045.82026795177,2116118.42394933
154,033,805000,10817.7395639604,3075481.62811795
155,033,805101,8642.16574217057,1865222.93900619
156,005,430101,7787.345755085,2448108.29621499
157,033,803612,7837.71288332907,2540579.54661987
158,033,805201,4414.68359682304,1365604.4381529
159,033,801707,10030.5284485589,3428074.58711711
160,033,801406,13482.8852729554,6839059.21224689
161,033,800209,6886.14289097501,1200196.00677309
162,033,800210,5340.8158125907,1561654.86583586
163,005,421000,4968.15302031666,661364.400354046
164,005,420701,7892.36428848288,2898153.64422982
165,005,404403,8380.1014386946,3847443.2711417
166,033,803100,8390.98514941412,3698135.70577773
167,033,805602,3458.80482916998,472940.232330141
168,033,805601,5904.38176293834,867138.514929981
169,033,802408,4341.73189988275,902179.270242777
