GEOID,MHI_2013,MHI_2023,Rent_2013,Rent_2023,Value_2013,Value_2023,Income_Change_%,Rent_Change_%,Value_Change_%
24031701602,60078.0,70300.0,1374.0,1898.0,306700.0,452500.0,17.014547754585703,38.13682678311499,47.5383110531464
24031701701,81649.0,103750.0,877.0,1252.0,546200.0,867300.0,27.068304572009456,42.7594070695553,58.78798974734529
24031701702,62328.0,66708.0,942.0,1213.0,374600.0,599700.0,7.027339237581826,28.768577494692142,60.09076348104645
24031701703,80565.0,99444.0,1047.0,1692.0,425500.0,610700.0,23.433252653137217,61.60458452722063,43.52526439482961
24031701704,98897.0,131116.0,1040.0,1479.0,425000.0,679200.0,32.578339080052984,42.21153846153846,59.811764705882354
24031702101,54183.0,81488.0,1271.0,1549.0,327600.0,503100.0,50.394035029437276,21.87254130605822,53.57142857142857
24031702102,146964.0,228992.0,2000.0,3162.0,488400.0,660900.0,55.81502953104162,58.099999999999994,35.31941031941032
24031702301,59250.0,83201.0,1318.0,1698.0,263000.0,369900.0,40.42362869198312,28.83156297420334,40.646387832699624
24031702302,76769.0,93871.0,1176.0,1693.0,416700.0,588400.0,22.27722127421225,43.96258503401361,41.2047036237101
24031702401,115694.0,179837.0,1324.0,1965.0,508500.0,761800.0,55.441941673725516,48.413897280966765,49.813176007866275
24031702402,67159.0,93561.0,1263.0,1734.0,481500.0,632500.0,39.312675888562964,37.29216152019003,31.360332294911736
24031702501,,109422.0,,2182.0,,428300.0,,,
24031702502,,86083.0,,1907.0,,478200.0,,,
24031702503,,79333.0,,2086.0,,690000.0,,,
24031702601,67779.0,,1735.0,,236000.0,,,,
24031702602,62104.0,98819.0,1609.0,2116.0,277300.0,320100.0,59.11857529305681,31.510254816656307,15.434547421565092
24031702603,,115147.0,,2233.0,,417600.0,,,
24031702604,,98452.0,,2071.0,,,,,
24031703201,95653.0,184808.0,2000.0,3360.0,391900.0,593500.0,93.20669503308835,68.0,51.4416943097729
24031703202,118371.0,162067.0,860.0,3500.0,444800.0,623000.0,36.914446950688934,306.9767441860465,40.06294964028777
24031703206,93137.0,128125.0,1412.0,1791.0,431600.0,598600.0,37.5661659705595,26.841359773371103,38.693234476367
24031703207,58306.0,99404.0,1456.0,1896.0,447800.0,638000.0,70.48674235927692,30.21978021978022,42.47431889236266
24031703208,124464.0,204934.0,2000.0,2662.0,413200.0,647900.0,64.65323306337577,33.1,56.80058083252663
24031703209,62766.0,83284.0,1450.0,2215.0,367100.0,470400.0,32.68967275276424,52.758620689655174,28.13947153364206
24031703210,88021.0,164135.0,2000.0,3036.0,345700.0,528900.0,86.47254632417264,51.800000000000004,52.993925368816896
24031703212,110000.0,,1537.0,,404400.0,,,,
24031703213,48456.0,61699.0,1374.0,1940.0,124500.0,276100.0,27.329948819547628,41.193595342066956,121.76706827309236
24031703214,50196.0,66208.0,1448.0,1773.0,406200.0,572800.0,31.898956092118897,22.444751381215468,41.01427868045298
24031703215,79135.0,96139.0,1711.0,2222.0,446800.0,616000.0,21.48733177481519,29.865575686732903,37.8692927484333
24031703216,59487.0,41908.0,1438.0,1422.0,186900.0,235600.0,-29.550994334896703,-1.1126564673157162,26.056714820759762
24031703218,48622.0,80111.0,1675.0,3500.0,200900.0,274200.0,64.76286454691292,108.95522388059702,36.48581383773021
24031703219,53026.0,62768.0,1142.0,2038.0,274800.0,285500.0,18.3721193376834,78.45884413309983,3.893740902474527
24031703220,69821.0,101866.0,1006.0,1596.0,259100.0,381400.0,45.895933888085246,58.64811133200796,47.20185256657661
24031703221,113828.0,140714.0,1695.0,2368.0,398800.0,466800.0,23.619847489194225,39.70501474926253,17.051153460381144
24031703222,,79063.0,,2082.0,,452800.0,,,
24031703223,,167163.0,,1972.0,,648800.0,,,
24031703301,81790.0,122423.0,2000.0,3083.0,328300.0,484000.0,49.67966744100746,54.15,47.42613463295766
24031703302,80469.0,111419.0,2000.0,3176.0,320500.0,453400.0,38.46201642868682,58.8,41.46645865834633
24031703401,76282.0,101829.0,1825.0,2202.0,321500.0,457000.0,33.490207388374714,20.65753424657534,42.14618973561431
24031703402,94750.0,137500.0,2000.0,1993.0,339300.0,448700.0,45.11873350923483,-0.35000000000000003,32.2428529325081
24031703403,67167.0,126471.0,1904.0,1931.0,288400.0,425600.0,88.29335834561614,1.4180672268907564,47.57281553398058
24031703404,53854.0,98690.0,1694.0,1855.0,221200.0,378000.0,83.2547257399636,9.50413223140496,70.88607594936708
24031703501,56845.0,90934.0,1042.0,1441.0,283400.0,464200.0,59.96833494590553,38.29174664107486,63.79675370501059
24031703502,71875.0,98077.0,891.0,1648.0,425600.0,565200.0,36.45495652173913,84.96071829405163,32.80075187969925
24031703601,90500.0,123750.0,1690.0,1872.0,360100.0,546000.0,36.74033149171271,10.76923076923077,51.624548736462096
24031703602,119514.0,179457.0,1179.0,2591.0,442400.0,687600.0,50.15563030272604,119.76251060220527,55.4249547920434
24031703701,65625.0,123438.0,1830.0,2603.0,282900.0,395400.0,88.096,42.240437158469945,39.76670201484623
24031703702,89135.0,116033.0,2000.0,2413.0,322500.0,559300.0,30.176698266674144,20.65,73.42635658914729
24031703901,103684.0,180417.0,2000.0,1969.0,421100.0,624600.0,74.00659696770958,-1.55,48.325813345998576
24031703902,84375.0,112057.0,1750.0,2474.0,346100.0,488900.0,32.8082962962963,41.37142857142857,41.25975151690263
24031704401,158816.0,250000.0,2000.0,3273.0,655200.0,1010200.0,57.4148700382833,63.65,54.18192918192918
