X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,MAR_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-76.99874898,38.83831963,89839,Ward 8,"3639 6th Street Southeast, Washington, District of Columbia 20032",Meadowbrook Run/Trenton Park Redevelopment,Pipeline,OP,267,38.83831185,-76.9987467,0,0,129,138,0,22-10,290112,400108.81,130057.46,3639 6TH STREET SE,2024/02/05 05:00:27+00
-76.98978497,38.89995391,89840,Ward 6,"1207 H Street Northeast, Washington, District of Columbia 20002",1207 H Street NE (Autozone),Pipeline,DHCD OP,40,38.89994612,-76.98978269,0,0,40,0,0,22-03,285923,400886.29,136899.37,1207 H STREET NE,2024/02/05 05:00:27+00
-76.99218144,38.92205867,89841,Ward 5,"1001 Bryant Street Northeast, Washington, District of Columbia 20018",1001 Bryant Street NE,Completed 2015 to Date,DHCD,1,38.92203077,-76.99220165,0,0,1,0,0,,76175,400678.2,139353.16,1001 BRYANT STREET NE,2024/02/05 05:00:27+00
-76.97573409,38.87004085,89842,Ward 8,"1618 21st Place Southeast, Washington, District of Columbia 20020",1618 21st Place SE,Under Construction,DHCD,2,38.8700334,-76.97573182,0,1,1,0,0,,59578,402106,133579.02,1618 21ST PLACE SE,2024/02/05 05:00:27+00
-77.03044758,38.95756999,89843,Ward 4,"1307 Longfellow Street Northwest, Washington, District of Columbia 20011",1307 Longfellow St NW,Under Construction,DHCD,1,38.95749235,-77.0304539,0,0,1,0,0,,257886,397361.19,143295.64,1307 LONGFELLOW STREET NW,2024/02/05 05:00:27+00
-76.9792366,38.90297184,89844,Ward 5,"1010 17th Street Northeast, Washington, District of Columbia 20002",1010 17th St NE,Under Construction,DHCD,1,38.90296439,-76.97923433,0,1,0,0,0,,75993,401801.22,137234.54,1010 17TH STREET NE,2024/02/05 05:00:27+00
-77.00938235,38.90990082,89845,Ward 5,"1504 North Capitol Street Northwest, Washington, District of Columbia 20002",1504 North Capitol St NW,Completed 2015 to Date,DHCD,1,38.90989337,-77.00938006,0,0,0,1,0,,236798,399186.45,138003.55,1504 NORTH CAPITOL STREET NW,2024/02/05 05:00:27+00
-76.986431,38.85545462,89846,Ward 8,"2912 Stanton Road Southeast, Washington, District of Columbia 20020",Townes at Stanton Square,Completed 2015 to Date,DHCD,5,38.85545161,-76.98640983,0,2,0,3,0,,317246,401177.96,131959.65,2912 STANTON ROAD SE,2024/02/05 05:00:27+00
-77.00026349,38.92424066,89847,Ward 5,"2641 4th Street Northeast, Washington, District of Columbia 20002",Flats on Fourth,Completed 2015 to Date,DHCD,1,38.92422323,-77.00017656,0,0,1,0,0,,331223,399977.35,139595.35,2641 4TH STREET NE,2024/02/05 05:00:27+00
-76.97678965,38.91676793,89848,Ward 5,"1901 New York Avenue Northeast, Washington, District of Columbia 20002",New City,Pipeline,DHCD,16,38.91676014,-76.97678737,0,0,16,0,0,,331067,402013.08,138766.07,1901 NEW YORK AVENUE NE,2024/02/05 05:00:27+00
-76.9830391,38.86613645,89849,Ward 8,"1916 15th Street Southeast, Washington, District of Columbia 20020",1916 15th St SE,Completed 2015 to Date,DHCD,4,38.866129,-76.98303683,0,0,4,0,0,,54043,401472.15,133145.46,1916 15TH STREET SE,2024/02/05 05:00:27+00
-76.99872961,38.8265816,89850,Ward 8,"4281 6th Street Southeast, Washington, District of Columbia 20032",Cascade Park 2019 - 4%,Completed 2015 to Date,DCHFA DHCD,59,38.82657416,-76.99872733,9,31,15,4,0,,149626,400110.51,128754.46,4281 6TH STREET SE,2024/02/05 05:00:27+00
-77.03188096,38.92447503,89851,Ward 1,"2641 14th Street Northwest, Washington, District of Columbia 20011",Faircliff Plaza East,Under Construction,DCHFA DHCD,125,38.92442147,-77.03189836,9,36,80,0,0,,335730,397235.67,139621.85,2641 14TH STREET NW,2024/02/05 05:00:27+00
-77.00864388,38.91004024,89852,Ward 5,"1515 North Capitol Street Northeast, Washington, District of Columbia 20002",SOME North Capitol Street 2019,Completed 2015 to Date,DHCD,136,38.91004398,-77.00856688,75,61,0,0,0,,336620,399250.5,138019.02,1515 NORTH CAPITOL STREET NE,2024/02/05 05:00:27+00
-76.99196194,38.86322102,89853,Ward 8,"2323 Martin Luther King Jr Avenue Southeast, Washington, District of Columbia 20020",The Clara On MLK,Under Construction,DHCD,81,38.86321324,-76.99195966,20,61,0,0,0,,48539,400697.81,132821.72,2323 MARTIN LUTHER KING JR AVENUE SE,2024/02/05 05:00:27+00
-77.01314833,38.9518227,89854,Ward 4,"5000 New Hampshire Avenue Northwest, Washington, District of Columbia 20011",The Hampshire - 2019,Completed 2015 to Date,DHCD,56,38.95181523,-77.01314604,8,16,20,12,0,,243521,398860.49,142657.28,5000 NEW HAMPSHIRE AVENUE NW,2024/02/05 05:00:27+00
-76.97023908,38.85895256,89855,Ward 8,"2419 25th Street Southeast, Washington, District of Columbia 20020",Wagner Senior - 2419 25th Street SE,Pipeline,DCHFA DHCD OP,67,38.85894511,-76.97023681,34,26,0,7,0,20-09,47387,402583.26,132348.28,2419 25TH STREET SE,2024/02/05 05:00:27+00
-77.0202699,38.95561443,89856,Ward 4,"505 Jefferson Street NW, Washington, District of Columbia 20011",505 Jefferson Street NW Renovation,Completed 2015 to Date,DHCD,14,38.95560697,-77.02026761,7,5,0,2,0,,246749,398243.28,143078.31,505 JEFFERSON STREET NW,2024/02/05 05:00:27+00
-77.00306134,38.83670276,89857,Ward 8,"3723 2nd Street Southeast, Washington, District of Columbia 20032",United 2nd Street,Pipeline,DHCD,13,38.83669532,-77.00305906,10,3,0,0,0,,31209,399734.41,129877.98,3723 2ND STREET SE,2024/02/05 05:00:27+00
-76.9968621,38.92135453,89858,Ward 5,"680 Rhode Island Avenue Northeast, Washington, District of Columbia 20002",680 Rhode Island Ave NE,Completed 2015 to Date,DHCD,25,38.92152844,-76.99690098,0,3,22,0,0,,288849,400272.31,139274.97,680 RHODE ISLAND AVENUE NE,2024/02/05 05:00:27+00
