geoid,name,B25003001,"B25003001, Error",B25003002,"B25003002, Error",B25003003,"B25003003, Error"
14000US24003740601,"Census Tract 7406.01, Anne Arundel, MD",1948,197,704,147,1244,182
14000US24003740602,"Census Tract 7406.02, Anne Arundel, MD",1047,143,0,14,1047,143
14000US24003740603,"Census Tract 7406.03, Anne Arundel, MD",863,119,0,14,863,119
14000US24003740701,"Census Tract 7407.01, Anne Arundel, MD",2950,323,2213,299,737,224
14000US24003740703,"Census Tract 7407.03, Anne Arundel, MD",2022,357,1765,356,257,147
14000US24003740704,"Census Tract 7407.04, Anne Arundel, MD",3136,228,2479,237,657,163
14000US24003740800,"Census Tract 7408, Anne Arundel, MD",1708,200,1555,215,153,94
14000US24003740900,"Census Tract 7409, Anne Arundel, MD",2740,256,1994,253,746,228
14000US24003741000,"Census Tract 7410, Anne Arundel, MD",857,70,789,83,68,46
14000US24003750101,"Census Tract 7501.01, Anne Arundel, MD",1549,225,1215,223,334,113
14000US24003750102,"Census Tract 7501.02, Anne Arundel, MD",966,123,774,123,192,94
14000US24003750201,"Census Tract 7502.01, Anne Arundel, MD",1134,103,931,120,203,85
14000US24003750204,"Census Tract 7502.04, Anne Arundel, MD",1891,182,1709,193,182,100
14000US24003750300,"Census Tract 7503, Anne Arundel, MD",984,130,836,124,148,63
14000US24003750400,"Census Tract 7504, Anne Arundel, MD",1503,142,1389,155,114,68
14000US24003750801,"Census Tract 7508.01, Anne Arundel, MD",1993,205,1816,221,177,131
14000US24003750803,"Census Tract 7508.03, Anne Arundel, MD",3010,347,1069,254,1941,399
14000US24003750804,"Census Tract 7508.04, Anne Arundel, MD",1519,239,1304,255,215,102
14000US24003750900,"Census Tract 7509, Anne Arundel, MD",1202,162,843,145,359,123
14000US24003751000,"Census Tract 7510, Anne Arundel, MD",1640,195,1487,208,153,62
14000US24003751102,"Census Tract 7511.02, Anne Arundel, MD",1842,346,1369,346,473,130
14000US24003751103,"Census Tract 7511.03, Anne Arundel, MD",2429,209,1667,272,762,289
14000US24003751200,"Census Tract 7512, Anne Arundel, MD",2198,210,1352,232,846,169
14000US24003751400,"Census Tract 7514, Anne Arundel, MD",1695,214,1582,213,113,63
14000US24003751500,"Census Tract 7515, Anne Arundel, MD",2910,359,1960,427,950,281
14000US24003751600,"Census Tract 7516, Anne Arundel, MD",2667,302,2601,308,66,51
14000US24003751700,"Census Tract 7517, Anne Arundel, MD",928,86,797,114,131,95
14000US24003980000,"Census Tract 9800, Anne Arundel, MD",0,14,0,14,0,14
14000US24003990000,"Census Tract 9900, Anne Arundel, MD",0,14,0,14,0,14
14000US24005400100,"Census Tract 4001, Baltimore, MD",2350,271,1122,189,1228,292
14000US24005400200,"Census Tract 4002, Baltimore, MD",1114,112,562,99,552,106
14000US24005400400,"Census Tract 4004, Baltimore, MD",2394,384,1949,256,445,272
14000US24005400500,"Census Tract 4005, Baltimore, MD",1000,91,973,93,27,22
14000US24005400600,"Census Tract 4006, Baltimore, MD",1266,293,798,192,468,228
14000US24005400701,"Census Tract 4007.01, Baltimore, MD",1535,196,723,145,812,170
14000US24005400702,"Census Tract 4007.02, Baltimore, MD",685,76,534,79,151,59
14000US24005400800,"Census Tract 4008, Baltimore, MD",1059,125,716,115,343,113
14000US24005400900,"Census Tract 4009, Baltimore, MD",750,92,525,67,225,105
14000US24005401000,"Census Tract 4010, Baltimore, MD",787,80,546,74,241,60
14000US24005401101,"Census Tract 4011.01, Baltimore, MD",2254,274,1520,246,734,247
14000US24005401102,"Census Tract 4011.02, Baltimore, MD",484,67,197,38,287,72
14000US24005401200,"Census Tract 4012, Baltimore, MD",1284,200,888,153,396,198
14000US24005401301,"Census Tract 4013.01, Baltimore, MD",1402,128,1177,122,225,108
14000US24005401302,"Census Tract 4013.02, Baltimore, MD",1482,206,798,169,684,171
14000US24005401400,"Census Tract 4014, Baltimore, MD",569,51,560,52,9,11
14000US24005401503,"Census Tract 4015.03, Baltimore, MD",2696,259,2216,254,480,137
14000US24005401504,"Census Tract 4015.04, Baltimore, MD",2228,329,1889,307,339,182
14000US24005401505,"Census Tract 4015.05, Baltimore, MD",1498,141,1124,145,374,94
14000US24005401506,"Census Tract 4015.06, Baltimore, MD",1827,139,1155,172,672,132
14000US24005401507,"Census Tract 4015.07, Baltimore, MD",2520,377,769,198,1751,422
14000US24005402201,"Census Tract 4022.01, Baltimore, MD",1170,172,987,171,183,84
14000US24005402202,"Census Tract 4022.02, Baltimore, MD",638,87,604,86,34,24
14000US24005402302,"Census Tract 4023.02, Baltimore, MD",2034,192,1282,212,752,174
14000US24005402303,"Census Tract 4023.03, Baltimore, MD",2535,300,1763,256,772,276
14000US24005402304,"Census Tract 4023.04, Baltimore, MD",1251,107,990,136,261,101
14000US24005402305,"Census Tract 4023.05, Baltimore, MD",1067,217,356,86,711,233
14000US24005402306,"Census Tract 4023.06, Baltimore, MD",1672,177,532,133,1140,150
14000US24005402307,"Census Tract 4023.07, Baltimore, MD",2414,269,675,268,1739,298
14000US24005402403,"Census Tract 4024.03, Baltimore, MD",870,120,788,99,82,84
14000US24005402404,"Census Tract 4024.04, Baltimore, MD",2417,255,1326,296,1091,323
14000US24005402405,"Census Tract 4024.05, Baltimore, MD",1432,169,747,177,685,199
14000US24005402407,"Census Tract 4024.07, Baltimore, MD",468,76,305,73,163,67
14000US24005402408,"Census Tract 4024.08, Baltimore, MD",1080,132,334,91,746,135
14000US24005402409,"Census Tract 4024.09, Baltimore, MD",1678,310,397,210,1281,280
14000US24005402503,"Census Tract 4025.03, Baltimore, MD",2348,267,586,186,1762,245
14000US24005402504,"Census Tract 4025.04, Baltimore, MD",1772,212,1592,188,180,102
14000US24005402505,"Census Tract 4025.05, Baltimore, MD",1349,159,618,183,731,133
14000US24005402506,"Census Tract 4025.06, Baltimore, MD",1816,263,1592,252,224,125
14000US24005402510,"Census Tract 4025.10, Baltimore, MD",1938,284,643,268,1295,294
14000US24005402511,"Census Tract 4025.11, Baltimore, MD",2382,356,1433,357,949,257
14000US24005402602,"Census Tract 4026.02, Baltimore, MD",759,116,649,115,110,58
14000US24005402603,"Census Tract 4026.03, Baltimore, MD",2588,295,2341,321,247,159
14000US24005402604,"Census Tract 4026.04, Baltimore, MD",2277,295,2102,299,175,156
14000US24005403100,"Census Tract 4031, Baltimore, MD",801,122,596,98,205,108
14000US24005403201,"Census Tract 4032.01, Baltimore, MD",1261,210,1185,218,76,50
14000US24005403202,"Census Tract 4032.02, Baltimore, MD",813,82,752,92,61,49
14000US24005403300,"Census Tract 4033, Baltimore, MD",1028,132,699,105,329,128
14000US24005403401,"Census Tract 4034.01, Baltimore, MD",1878,245,765,112,1113,272
14000US24005403402,"Census Tract 4034.02, Baltimore, MD",2395,342,1619,344,776,207
14000US24005403500,"Census Tract 4035, Baltimore, MD",1908,246,1280,146,628,268
14000US24005403601,"Census Tract 4036.01, Baltimore, MD",1768,171,1281,209,487,156
14000US24005403602,"Census Tract 4036.02, Baltimore, MD",2370,246,1409,238,961,248
14000US24005403702,"Census Tract 4037.02, Baltimore, MD",2172,233,913,227,1259,304
14000US24005403703,"Census Tract 4037.03, Baltimore, MD",1290,132,1080,153,210,77
14000US24005403704,"Census Tract 4037.04, Baltimore, MD",1926,318,1361,313,565,219
14000US24005403801,"Census Tract 4038.01, Baltimore, MD",574,46,546,46,28,21
14000US24005403802,"Census Tract 4038.02, Baltimore, MD",937,90,929,92,8,12
14000US24005403803,"Census Tract 4038.03, Baltimore, MD",1420,135,1324,147,96,53
14000US24005404101,"Census Tract 4041.01, Baltimore, MD",3240,281,2160,339,1080,283
14000US24005404102,"Census Tract 4041.02, Baltimore, MD",2159,302,1416,251,743,293
14000US24005404201,"Census Tract 4042.01, Baltimore, MD",2389,274,853,177,1536,336
14000US24005404202,"Census Tract 4042.02, Baltimore, MD",2975,365,460,215,2515,374
14000US24005404402,"Census Tract 4044.02, Baltimore, MD",2481,311,2181,254,300,225
14000US24005404403,"Census Tract 4044.03, Baltimore, MD",1995,222,995,232,1000,241
14000US24005404404,"Census Tract 4044.04, Baltimore, MD",2214,329,1666,277,548,189
14000US24005404501,"Census Tract 4045.01, Baltimore, MD",2444,302,1942,313,502,180
14000US24005404502,"Census Tract 4045.02, Baltimore, MD",1534,218,1063,205,471,129
14000US24005404600,"Census Tract 4046, Baltimore, MD",1116,171,944,165,172,73
14000US24005404800,"Census Tract 4048, Baltimore, MD",786,82,760,88,26,29
14000US24005404900,"Census Tract 4049, Baltimore, MD",1800,174,1479,159,321,85
14000US24005405000,"Census Tract 4050, Baltimore, MD",1682,186,1450,200,232,99
